[0.000000] (-) TimerEvent: {}
[0.008392] (-) JobUnselected: {'identifier': 'ackermann_msgs'}
[0.008765] (-) JobUnselected: {'identifier': 'ar_track_alvar'}
[0.008877] (-) JobUnselected: {'identifier': 'ar_track_alvar_msgs'}
[0.008964] (-) JobUnselected: {'identifier': 'astra_camera_msgs'}
[0.011732] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.012007] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.012118] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.012766] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.012872] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.012955] (-) JobUnselected: {'identifier': 'ldlidar_sl_ros2'}
[0.013039] (-) JobUnselected: {'identifier': 'ldlidar_stl_ros2'}
[0.017967] (-) JobUnselected: {'identifier': 'lidar_ros2'}
[0.018214] (-) JobUnselected: {'identifier': 'lsm10_v2'}
[0.018436] (-) JobUnselected: {'identifier': 'lsn10'}
[0.018692] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.018885] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.019139] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.019497] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.019625] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.019754] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.019875] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.019996] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.020115] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.020246] (-) JobUnselected: {'identifier': 'nav2_gazebo_spawner'}
[0.020358] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.020480] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.020646] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.020802] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.021115] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.021240] (-) JobUnselected: {'identifier': 'nav2_recoveries'}
[0.021372] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.021454] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.021543] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.021773] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.021878] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.021999] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.022095] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.022177] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.022256] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.022364] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.022480] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.022587] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.022695] (-) JobUnselected: {'identifier': 'navigation2'}
[0.022963] (-) JobUnselected: {'identifier': 'openslam_gmapping'}
[0.023115] (-) JobUnselected: {'identifier': 'pcl_conversions'}
[0.023226] (-) JobUnselected: {'identifier': 'pcl_ros'}
[0.023336] (-) JobUnselected: {'identifier': 'perception_pcl'}
[0.023444] (-) JobUnselected: {'identifier': 'rplidar_ros2'}
[0.023555] (-) JobUnselected: {'identifier': 'serial'}
[0.023667] (-) JobUnselected: {'identifier': 'simple_follower_ros2'}
[0.023886] (-) JobUnselected: {'identifier': 'slam_gmapping'}
[0.023982] (-) JobUnselected: {'identifier': 'tf2_tools'}
[0.024103] (-) JobUnselected: {'identifier': 'turn_on_wheeltec_robot'}
[0.024196] (-) JobUnselected: {'identifier': 'usb_cam'}
[0.024274] (-) JobUnselected: {'identifier': 'web_video_server'}
[0.024353] (-) JobUnselected: {'identifier': 'wheeltec_cartographer'}
[0.024480] (-) JobUnselected: {'identifier': 'wheeltec_joy'}
[0.024720] (-) JobUnselected: {'identifier': 'wheeltec_nav2'}
[0.024849] (-) JobUnselected: {'identifier': 'wheeltec_robot_keyboard'}
[0.024938] (-) JobUnselected: {'identifier': 'wheeltec_robot_msg'}
[0.025059] (-) JobUnselected: {'identifier': 'wheeltec_robot_rrt'}
[0.025657] (-) JobUnselected: {'identifier': 'wheeltec_robot_rtab'}
[0.025811] (-) JobUnselected: {'identifier': 'wheeltec_robot_urdf'}
[0.025885] (-) JobUnselected: {'identifier': 'wheeltec_rrt_msg'}
[0.027695] (-) JobUnselected: {'identifier': 'wheeltec_slam_toolbox'}
[0.031307] (astra_camera) JobQueued: {'identifier': 'astra_camera', 'dependencies': OrderedDict([('astra_camera_msgs', '/home/wheeltec/wheeltec_ros2/install/astra_camera_msgs')])}
[0.032204] (astra_camera) JobStarted: {'identifier': 'astra_camera'}
[0.100255] (-) TimerEvent: {}
[0.148697] (astra_camera) JobEnded: {'identifier': 'astra_camera', 'rc': 1}
[0.160490] (-) EventReactorShutdown: {}
